,endTime,artistName,trackName,msPlayed
322,2021-05-01 15:44,V.I.C.,Get Silly,6056.0
323,2021-05-01 15:44,Megan Thee Stallion,Hot Girl Summer (feat. Nicki Minaj & Ty Dolla $ign),199427.0
324,2021-05-01 15:47,Rae Sremmurd,Powerglide (feat. Juicy J) - From SR3MM,187617.0
325,2021-05-01 15:50,French Montana,Unforgettable,154714.0
326,2021-05-01 15:50,Young Thug,Hop Off A Jet (feat. Travis Scott),1021.0
327,2021-05-01 15:57,Reddish Blu,You're So Beautiful,59559.0
328,2021-05-01 15:57,Playboi Carti,FlatBed Freestyle,6408.0
329,2021-05-01 15:57,Lil Wayne,I Don't Sleep (ft. Takeoff),2716.0
330,2021-05-01 16:00,Shelley FKA DRAM,Cash Machine,181154.0
331,2021-05-01 16:04,Rae Sremmurd,Swang,208120.0
332,2021-05-01 16:06,Rich The Kid,Red,132186.0
333,2021-05-01 16:09,A Boogie Wit da Hoodie,"Numbers (feat. Roddy Ricch, Gunna and London On Da Track)",177886.0
334,2021-05-01 16:11,Internet Money,Blastoff (feat. Juice Wrld & Trippie Redd),152949.0
335,2021-05-01 16:11,Lil Baby,Sum 2 Prove,1857.0
336,2021-05-01 16:11,Rae Sremmurd,Powerglide (feat. Juicy J) - From SR3MM,1114.0
337,2021-05-01 16:12,Calboy,Envy Me,36432.0
338,2021-05-01 16:14,Shoreline Mafia,Whuss the Deal,88096.0
339,2021-05-01 16:47,KYLE,iSpy (feat. Lil Yachty),132934.0
340,2021-05-01 16:49,Naughty Boy,La La La,83359.0
341,2021-05-01 16:49,Edward Sharpe & The Magnetic Zeros,Home,1648.0
342,2021-05-01 16:49,Jack Harlow,WHATS POPPIN,2113.0
343,2021-05-01 16:49,Roddy Ricch,Roll Dice,1695.0
344,2021-05-01 16:50,Kodak Black,Transportin',44884.0
345,2021-05-01 16:53,7ru7h,Oblivion,171750.0
346,2021-05-01 16:55,iann dior,Flowers,1253.0
347,2021-05-01 16:55,Oliver Tree,Alien Boy,145166.0
348,2021-05-01 16:55,Natasha Bedingfield,Love Like This (feat. Sean Kingston),7383.0
349,2021-05-01 16:55,Post Malone,Congratulations,1764.0
350,2021-05-01 16:58,Shordie Shordie,LOVE (feat. Trippie Redd),975.0
351,2021-05-01 16:58,Gunna,COOLER THAN A BITCH (feat. Roddy Ricch),1904.0
352,2021-05-01 16:58,JACKBOYS,GANG GANG,2909.0
353,2021-05-01 16:58,YoungBoy Never Broke Again,How You Want It,150980.0
354,2021-05-01 17:00,Gunna,COOLER THAN A BITCH (feat. Roddy Ricch),110782.0
355,2021-05-03 16:41,Brent Faiyaz,Dead Man Walking,244714.0
356,2021-05-03 16:42,Brent Faiyaz,Clouded,42730.0
357,2021-05-03 16:44,Trippie Redd,1400 / 999 Freestyle,81258.0
